id,winner,loser,player,score,player_score,venue,date,sport,gender,toss,league
548,China Women,Philippines Women,China Women,207,78,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
549,New Zealand Women,Bangladesh Women,New Zealand Women,318,69,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
550,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,90,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
551,South Africa Women,Ireland Women,South Africa Women,255,98,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
552,Scotland Women,Netherlands Women,Scotland Women,268,134,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
553,United States of America,Canada,United States of America,466,142,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
554,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,64,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
555,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,89,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
556,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,48,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
557,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,179,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
558,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,177,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
559,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,71,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
560,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,94,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
561,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,155,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
562,England,New Zealand,Jos Buttler,617,182,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
563,Oman Women,Philippines Women,Oman Women,238,51,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
564,Japan Women,Bahrain Women,Japan Women,236,57,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
565,United Arab Emirates Women,China Women,United Arab Emirates Women,76,26,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
566,Thailand Women,Myanmar Women,Thailand Women,65,16,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
567,Mongolia Women,Bahrain Women,Mongolia Women,195,94,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
568,Oman Women,Saudi Arabia Women,Oman Women,77,30,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
569,Kuwait Women,Singapore Women,Kuwait Women,191,69,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
570,Hong Kong,Nepal Women,Hong Kong,149,64,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
571,Indonesia Women,Malaysia Women,Indonesia Women,175,56,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
572,China Women,Philippines Women,China Women,207,94,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
573,New Zealand Women,Bangladesh Women,New Zealand Women,318,103,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
574,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,99,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
575,South Africa Women,Ireland Women,South Africa Women,255,87,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
576,Scotland Women,Netherlands Women,Scotland Women,268,96,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
577,United States of America,Canada,United States of America,466,144,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
578,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,146,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
579,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,64,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
580,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,43,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
581,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,171,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
582,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,180,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
583,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,95,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
584,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,69,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
585,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,135,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
586,England,New Zealand,Joe Root,617,283,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
587,Oman Women,Philippines Women,Oman Women,238,61,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
588,Japan Women,Bahrain Women,Japan Women,236,106,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
589,United Arab Emirates Women,China Women,United Arab Emirates Women,76,20,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
590,Thailand Women,Myanmar Women,Thailand Women,65,13,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
591,Mongolia Women,Bahrain Women,Mongolia Women,195,83,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
592,Oman Women,Saudi Arabia Women,Oman Women,77,37,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
593,Kuwait Women,Singapore Women,Kuwait Women,191,57,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
594,Hong Kong,Nepal Women,Hong Kong,149,47,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
595,Indonesia Women,Malaysia Women,Indonesia Women,175,74,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
596,China Women,Philippines Women,China Women,207,44,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
597,New Zealand Women,Bangladesh Women,New Zealand Women,318,158,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
598,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,107,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
599,South Africa Women,Ireland Women,South Africa Women,255,120,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
600,Scotland Women,Netherlands Women,Scotland Women,268,87,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
601,United States of America,Canada,United States of America,466,172,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
602,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,82,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
603,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,61,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
604,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,38,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
605,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,199,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
606,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,105,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
607,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,113,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
608,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,101,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
609,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,170,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
610,England,New Zealand,Jofra Archer,617,258,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
611,Oman Women,Philippines Women,Oman Women,238,54,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
612,Japan Women,Bahrain Women,Japan Women,236,112,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
613,United Arab Emirates Women,China Women,United Arab Emirates Women,76,17,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
614,Thailand Women,Myanmar Women,Thailand Women,65,31,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
615,Mongolia Women,Bahrain Women,Mongolia Women,195,78,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
616,Oman Women,Saudi Arabia Women,Oman Women,77,17,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
617,Kuwait Women,Singapore Women,Kuwait Women,191,48,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
618,Hong Kong,Nepal Women,Hong Kong,149,32,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
619,Indonesia Women,Malaysia Women,Indonesia Women,175,57,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
620,China Women,Philippines Women,China Women,207,87,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
621,New Zealand Women,Bangladesh Women,New Zealand Women,318,79,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
622,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,69,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
623,South Africa Women,Ireland Women,South Africa Women,255,55,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
624,Scotland Women,Netherlands Women,Scotland Women,268,133,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
625,United States of America,Canada,United States of America,466,132,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
626,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,89,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
627,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,143,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
628,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,68,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
629,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,172,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
630,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,116,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
631,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,153,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
632,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,63,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
633,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,148,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
634,England,New Zealand,Harry Brook,617,208,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
635,Oman Women,Philippines Women,Oman Women,238,94,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
636,Japan Women,Bahrain Women,Japan Women,236,98,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
637,United Arab Emirates Women,China Women,United Arab Emirates Women,76,31,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
638,Thailand Women,Myanmar Women,Thailand Women,65,32,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
639,Mongolia Women,Bahrain Women,Mongolia Women,195,46,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
640,Oman Women,Saudi Arabia Women,Oman Women,77,17,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
641,Kuwait Women,Singapore Women,Kuwait Women,191,90,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
642,Hong Kong,Nepal Women,Hong Kong,149,31,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
643,Indonesia Women,Malaysia Women,Indonesia Women,175,56,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
644,China Women,Philippines Women,China Women,207,70,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
645,New Zealand Women,Bangladesh Women,New Zealand Women,318,121,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
646,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,152,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
647,South Africa Women,Ireland Women,South Africa Women,255,114,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
648,Scotland Women,Netherlands Women,Scotland Women,268,120,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
649,United States of America,Canada,United States of America,466,223,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
650,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,130,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
651,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,117,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
652,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,53,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
653,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,133,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
654,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,95,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
655,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,80,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
656,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,143,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
657,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,171,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
658,England,New Zealand,Harry Brook,617,217,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
659,Oman Women,Philippines Women,Oman Women,238,62,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
660,Japan Women,Bahrain Women,Japan Women,236,52,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
661,United Arab Emirates Women,China Women,United Arab Emirates Women,76,35,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
662,Thailand Women,Myanmar Women,Thailand Women,65,26,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
663,Mongolia Women,Bahrain Women,Mongolia Women,195,85,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
664,Oman Women,Saudi Arabia Women,Oman Women,77,33,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
665,Kuwait Women,Singapore Women,Kuwait Women,191,61,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
666,Hong Kong,Nepal Women,Hong Kong,149,68,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
667,Indonesia Women,Malaysia Women,Indonesia Women,175,87,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
668,China Women,Philippines Women,China Women,207,82,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
